company,mdate,WorkingCapital_TotalAssets,RetainedEarnings_TotalAssets,CashFlow_TotalDebt,TotalDebt_TotalAssets,CurrentRatio,stock_prefix,WorkingCapital_TotalAssets_miss,RetainedEarnings_TotalAssets_miss,CashFlow_TotalDebt_miss,TotalDebt_TotalAssets_miss,CurrentRatio_miss,Merge_Code,產業別,GICS_Category
1522 堤維西,2023/06,0.08715892583368001,0.1087551614722959,0.1102112917416812,0.4953672658866393,0.8184121803937365,15,0,0,0,0,0,1522,汽車工業,5
1522 堤維西,2014/06,0.01300286786935862,0.03941723306510891,0.07373218040943366,0.5108840888602807,0.708708769580061,15,0,0,0,0,0,1522,汽車工業,5
1522 堤維西,2014/12,0.051648639026708,0.05516129313957369,0.1113883205810286,0.5014611865490184,0.7581293718810058,15,0,0,0,0,0,1522,汽車工業,5
1522 堤維西,2021/06,0.08481006290734738,0.0919733000571451,0.0111970897354872,0.5388877567079381,0.8278341206059282,15,0,0,0,0,0,1522,汽車工業,5
1522 堤維西,2023/12,0.09663316687933281,0.1250993043811842,0.2119686496178526,0.4895944146343325,0.8354519116596553,15,0,0,0,0,0,1522,汽車工業,5
1522 堤維西,2021/12,0.09261469394178902,0.0887660145068873,0.0272142037585766,0.5065075513214707,0.8368002947000008,15,0,0,0,0,0,1522,汽車工業,5
1522 堤維西,2024/06,0.1011477469313573,0.1351558777756198,0.05323094108801969,0.4888250467805243,0.8366708842184862,15,0,0,0,0,0,1522,汽車工業,5
1522 堤維西,2015/12,0.04262765890388796,0.07415770258197459,0.1241002351930702,0.4949597036898835,0.7484281362806386,15,0,0,0,0,0,1522,汽車工業,5
1522 堤維西,2019/12,0.0696201990850305,0.09666756730761777,0.1055813427031362,0.5361148239054592,0.8031314583728904,15,0,0,0,0,0,1522,汽車工業,5
1522 堤維西,2016/12,0.06385473715809085,0.09370520985956107,0.1637783024253494,0.5032093141205247,0.7801815409804578,15,0,0,0,0,0,1522,汽車工業,5
