coid,mdate,tcri,scr,xcdt,company,WorkingCapital_TotalAssets,RetainedEarnings_TotalAssets,CashFlow_TotalDebt,TotalDebt_TotalAssets,CurrentRatio,stock_prefix,WorkingCapital_TotalAssets_miss,RetainedEarnings_TotalAssets_miss,CashFlow_TotalDebt_miss,TotalDebt_TotalAssets_miss,CurrentRatio_miss,產業別,GICS_Category
3004,2019-12-01,5,480.0,,3004 豐達科,0.061107839136263,0.198334076021917,0.1590336833831408,0.4797050942645071,0.8228970589059641,30,0,0,0,0,0,鋼鐵工業,8
3004,2020-12-01,7,277.0,,3004 豐達科,0.0967840422947017,0.2076578998285162,0.1899011921801177,0.453202504492528,1.045185753298215,30,0,0,0,0,0,鋼鐵工業,8
3004,2021-12-01,7,124.0,,3004 豐達科,0.0949045700086229,0.1881057136573476,0.0286380087090054,0.462440338271047,0.9687994992887266,30,0,0,0,0,0,鋼鐵工業,8
3004,2022-12-01,7,308.0,,3004 豐達科,0.0971643234966013,0.205890815465242,0.091268172410663,0.4537323276514881,0.889673858392969,30,0,0,0,0,0,鋼鐵工業,8
3004,2023-12-01,7,414.0,,3004 豐達科,0.1443968001186796,0.2276475590444108,0.077154792697421,0.4325028958444568,0.9616369701348492,30,0,0,0,0,0,鋼鐵工業,8
3006,2014-12-01,5,661.0,,3006 晶豪科,0.4129764517099617,0.3056351186191457,0.2888885747799128,0.3183091186955631,1.222147996062791,30,0,0,0,0,0,半導體業,1
3006,2015-12-01,5,515.0,,3006 晶豪科,0.4627555924550523,0.3533973823225067,-0.5809679286703613,0.2043668184026478,1.536975455467222,30,0,0,0,0,0,半導體業,1
3006,2016-12-01,5,484.0,,3006 晶豪科,0.4687042823293249,0.3605075736151217,0.3941730491667101,0.2256526317121095,1.480961509440188,30,0,0,0,0,0,半導體業,1
3006,2017-12-01,5,580.0,,3006 晶豪科,0.4903861350792285,0.3933718260946883,0.3282297089484658,0.2266765045794373,1.509238306960354,30,0,0,0,0,0,半導體業,1
3006,2018-12-01,5,571.0,,3006 晶豪科,0.4712898047272927,0.3679252967148498,-0.1790138758880342,0.2592254268205789,1.400423260844368,30,0,0,0,0,0,半導體業,1
3006,2019-12-01,5,536.0,,3006 晶豪科,0.4808542810964694,0.3668981205496554,0.4631510607593931,0.2620298823113823,1.420345270956568,30,0,0,0,0,0,半導體業,1
